"Name"
"Hulmann, Bastien"
"Hulmann, Cedric"
"Hunn, Lars"
"Hunziker, Nicolas"
"Huppi, Damian"
"Hurter, Marco"
"Huser, Robin"
"Huser, Zeno"
"Hysa, Erjon"
"Hysenaj, Valon"
"Hyseni, Astrit"
"Iapichino, Dennis"
"Iberdemaj, Ideal"
"Iberdemaj, Leart"
"Idrizi, Shemsedin"
"Igiehon, Bennie"
"Imbach, Samuel"
"Imbriaco, Giulio"
"Imeri, Edin"
"Imeri, Kastriot"
"Imhof, Dominic"
"Imholz, Sascha"
"Inauen, Adrian"
"Infante, Alexandre"
"Inler, Gokhan"
"Innocenti, Marco"
"Iozzo, Danilo"
"Isler, Florian"
"Ismani, Yann"
"Isufi, Elis"
"Italo, Giovanni"
"Iten, Stefan"
"Itten, Cedric"
"Ivanishvili, Giorgi"
"Ivic, Ilija"
"Ivkovic, Nikola"
"Izmirlioglu, Serkan"
"Jackle, Olivier"
"Jacot, Loic"
"Jacot, Mihailo"
"Jacovic, David"
"Jaeger, Oliver"
"Jaggy, Kim"
"Jahmann, Sacha"
"Jahn, Jorg"
"Jakovljevic, Dejan"
"Jaksic, Nikola"
"Jakupi, Jeton"
"Jakupovic, Eldin"
"Jakupovic, Sead"
"Jammet, Paul"
"Janjicic, Vasilije"
"Jankewitz, Alexandre"
"Janko, Saidy"
"Jankowski, Yves"
"Januario, Nuno"
"Jaquier, Jeremy"
"Jenni, Alphons"
"Jevremovic, Boris"
"Jevtic, Darko"
"Joao Oliveira"
"Joao Vitor"
"Joaquim Adao"
"Joos, Olivier"
"Josipovic, Zoran"
"Joss, Sven"
"Kabacalman, Ali"
"Kabashi, Arian"
"Kabeya, Benjamin"
"Kablan, Chris"
"Kadic, Amir"
"Kadoic, Deni"
"Kahraman, Altay"
"Kaiser, Yves"
"Kamber, Janick"
"Kamber, Robin"
"Kamberi, Boris"
"Kamberi, Florian"
"Kamberi, Lindrit"
"Kameni, Emmanuel"
"Kameraj, Cendrim"
"Kandiah, Gianni"
"Kaplan, Mustafa"
"Karalic, Jadranko"
"Karanovic, Goran"
"Kargbo, Thomas"
"Karlen, Gaetan"
"Karlen, Gregory"
"Karlen, Mattia"
"Karrer, Patrick"
"Kasai, Yann"
"Kasami, Pajtim"
"Kasongo, Samuel"
"Kastner, Mark"
"Kastrati, Artian"
